PASS minimal/none: 466 contacts, 5.09m route, peak -1.48
PASS minimal/bubbleStone: 471 contacts, 5.08m route, peak -1.48
PASS minimal/driftwoodArch: 528 contacts, 5.74m route, peak -1.48
PASS minimal/moonLantern: 489 contacts, 5.33m route, peak -1.48
PASS minimal/kelp: 466 contacts, 5.09m route, peak -1.48
PASS minimal/pearlShell: 523 contacts, 5.71m route, peak -1.48
PASS coralGarden/none: 495 contacts, 5.38m route, peak -1.48
PASS coralGarden/bubbleStone: 498 contacts, 5.36m route, peak -1.48
PASS coralGarden/driftwoodArch: 553 contacts, 5.99m route, peak -1.48
PASS coralGarden/moonLantern: 548 contacts, 5.87m route, peak -1.48
PASS coralGarden/kelp: 505 contacts, 5.48m route, peak -1.48
PASS coralGarden/pearlShell: 536 contacts, 5.79m route, peak -1.48
PASS riverRocks/none: 554 contacts, 6.12m route, peak -0.83
PASS riverRocks/bubbleStone: 559 contacts, 6.10m route, peak -0.83
PASS riverRocks/driftwoodArch: 616 contacts, 6.76m route, peak -0.83
PASS riverRocks/moonLantern: 577 contacts, 6.36m route, peak -0.83
PASS riverRocks/kelp: 554 contacts, 6.12m route, peak -0.83
PASS riverRocks/pearlShell: 609 contacts, 6.70m route, peak -0.83
PASS glassPearls/none: 559 contacts, 6.11m route, peak -0.96
PASS glassPearls/bubbleStone: 564 contacts, 6.09m route, peak -0.96
PASS glassPearls/driftwoodArch: 621 contacts, 6.75m route, peak -0.96
PASS glassPearls/moonLantern: 582 contacts, 6.35m route, peak -0.96
PASS glassPearls/kelp: 559 contacts, 6.11m route, peak -0.96
PASS glassPearls/pearlShell: 615 contacts, 6.71m route, peak -0.96
PASS: all habitat combinations, rock climbing, arch passage, shrimp/submarine clearance, visible snail attachment, independent rests, eased starts/stops, orientation, reduced motion and 30/60 fps. 3.262848973274231s
